"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","State"
"Time:","1981 - 2021"
"Unit of Measure:","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production | Alabama Field, Alaska Field, Alaska North Slope, Alaska South Field, Arizona Field, Arkansas Field, California Field, California Field (Federal Offshore), Colorado Field, Florida Field, Gulf of Mexico Field (Federal Offshore), Illinois Field, Indiana Field, Kansas Field, Kentucky Field, Louisiana Field, Michigan Field, Mississippi Field, Missouri Field, Montana Field, Nebraska Field, Nevada Field, New Mexico Field, New York Field, North Dakota Field, Ohio Field, Oklahoma Field, Pennsylvania Field, South Dakota Field, Tennessee Field, Texas Field, Utah Field, Virginia Field, West Virginia Field, Wyoming Field, 1981 - 2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP18466E28C2B86"
"ColumnCount:",36
"RowCount:",41

"Time","Alabama Field, PAD District 3 - Gulf Coast (Barrels)","Alaska Field, PAD District 5 - West Coast (Barrels)","Alaska North Slope, PAD District 5 - West Coast (Barrels)","Alaska South Field, PAD District 5 - West Coast (Barrels)","Arizona Field, PAD District 5 - West Coast (Barrels)","Arkansas Field, PAD District 3 - Gulf Coast (Barrels)","California Field, PAD District 5 - West Coast (Barrels)","California Field (Federal Offshore), PAD District 5 - West Coast (Barrels)","Colorado Field, PAD District 4 - Rocky Mountains (Barrels)","Florida Field, PAD District 1 - East Coast (Barrels)","Gulf of Mexico Field (Federal Offshore), PAD District 3 - Gulf Coast (Barrels)","Illinois Field, PAD District 2 - Midwest (Barrels)","Indiana Field, PAD District 2 - Midwest (Barrels)","Kansas Field, PAD District 2 - Midwest (Barrels)","Kentucky Field, PAD District 2 - Midwest (Barrels)","Louisiana Field, PAD District 3 - Gulf Coast (Barrels)","Michigan Field, PAD District 2 - Midwest (Barrels)","Mississippi Field, PAD District 3 - Gulf Coast (Barrels)","Missouri Field, PAD District 2 - Midwest (Barrels)","Montana Field, PAD District 4 - Rocky Mountains (Barrels)","Nebraska Field, PAD District 2 - Midwest (Barrels)","Nevada Field, PAD District 5 - West Coast (Barrels)","New Mexico Field, PAD District 3 - Gulf Coast (Barrels)","New York Field, PAD District 1 - East Coast (Barrels)","North Dakota Field, PAD District 2 - Midwest (Barrels)","Ohio Field, PAD District 2 - Midwest (Barrels)","Oklahoma Field, PAD District 2 - Midwest (Barrels)","Pennsylvania Field, PAD District 1 - East Coast (Barrels)","South Dakota Field, PAD District 2 - Midwest (Barrels)","Tennessee Field, PAD District 2 - Midwest (Barrels)","Texas Field, PAD District 3 - Gulf Coast (Barrels)","Utah Field, PAD District 4 - Rocky Mountains (Barrels)","Virginia Field, PAD District 1 - East Coast (Barrels)","West Virginia Field, PAD District 1 - East Coast (Barrels)","Wyoming Field, PAD District 4 - Rocky Mountains (Barrels)"
"1981",20680000,973352000,31072000,587337000,556265000,18352000,357000,700000,30303000,34773000,262518000,24090000,4721000,65810000,6548000,199579000,32665000,34204000,226000,,6671000,365370000,71568000,841000,45424000,13551000,154056000,3729000,973000,918000,932350000,30813000,13000,3473000,25860000
"1982",20014000,1021430000,27404000,618910000,591506000,18849000,335000,613000,30545000,25626000,286725000,27710000,5563000,70525000,7349000,188749000,31462000,33047000,202000,,6872000,373176000,71024000,834000,47271000,14571000,158621000,4282000,1158000,1132000,908217000,30921000,49000,3227000,22440000
"1983",18746000,1031262000,24769000,625527000,600758000,18849000,237000,810000,29050000,19476000,319717000,29200000,5321000,71594000,7886000,179617000,31736000,31455000,269000,,6380000,374161000,75169000,831000,50690000,14971000,158604000,4282000,1172000,1056000,882911000,29225000,65000,3628000,29534000
"1984",19804000,1044543000,21983000,630401000,608418000,18730000,215000,1907000,28845000,14462000,349857000,28868000,5526000,75729000,7777000,187011000,30554000,32776000,285000,,6452000,381621000,79336000,840000,52652000,15271000,168385000,4284000,1340000,920000,883174000,29761000,32000,3524000,34689000
"1985",21581000,1093324000,16946000,666233000,649287000,19044000,175000,3039000,30246000,11458000,343443000,30265000,5168000,75407000,7790000,184409000,27300000,30641000,243000,,6943000,394002000,78530000,1071000,50857000,14988000,162739000,4851000,1596000,786000,869218000,29768000,26000,3555000,40792000
